category,location,name,website,phone,address,rating,emails
real estate agents,noida,"Collection Realty Pvt. Ltd-Property Dealer in Noida, Property Dealer near me, Property Sale Purchase in Noida",https://www.collectionrealty.in/,095600 03000,"Shop No-7, Market",5.0,info@collectionrealty.in
real estate agents,noida,SNJ Realty International Private Limited,,099999 51117,"10th Floor, A Block, Spectrum Metro, 1004",4.7,
real estate agents,noida,MoneyTree Realty Services Limited,https://moneytreerealty.com/,097323 00007,Fl no-2,4.6,customercare@moneytreerealty.com
real estate agents,greater noida,SBR ESTATES,,097180 16677,Cb-009,4.9,
real estate agents,greater noida,AB Properties Greater Noida Property Dealers,https://abprop.co.in/,092125 60089,"MSX Tower II, G-2, opp. Golf Course",4.7,harishmittal4@gmail.com
real estate agents,greater noida,Chhabra Properties Pvt.Ltd,http://www.chhabra-properties.com/,062000 69000,"2nd floor, SL Tower, 204",4.9,info@chhabra-properties.com
real estate agents,greater noida,Jindal Alfatech Realty | Greater Noida Property dealer,https://jindalalfatechrealty.com/,099994 49400,"2nd floor, Neelkanth Plaza, Offices 203–210",4.9,
real estate agents,greater noida,VELOCITY® | Property Consultant Gr Noida,https://www.velocityhousing.in/,081307 80003,"GF 51, SNG Plaza",4.9,info@velocityhousing.in;wght@12..36
real estate agents,greater noida,Greno Estates® | Property Dealer in Greater Noida,https://grenoestates.com/,099119 09042,"Office 206 & 207, MSX Tower, 2",4.9,grenoestates@gmail.com
real estate agents,greater noida,Square Meters Realtors Pvt. Ltd.,https://sqmeters.co.in/,097174 52701,"B-12, Main Road",4.8,sqmeters01@gmail.com;squaremeters@gmail.com
real estate agents,greater noida,Golden Dream Infratech Pvt. Ltd,http://www.goldendreamproperty.com/,088001 21980,"Office No. - 502, Kasana Tower",4.9,sales@goldendreamproperty.com;jquery-validation@1.19.2
real estate agents,greater noida,Shiva Associates | Greater Noida Property Dealers,https://www.shivaassociates.com/,099990 90047,"9th Floor, Tradex Tower II",4.9,info@shivaassociates.com;intl-segmenter@11.7.10;core-js-bundle@3.2.1;focus-within-polyfill@5.0.9;rspack@1.6.8;react@18.3.1;react-dom@18.3.1;lodash@4.17.21
real estate agents,greater noida,Best Locators management pvt ltd,http://www.bestlocaters.in/,099533 37160,"1st Floor, B L M Pvt Ltd, 33, Kadamba Shopping Complex",4.9,bestlocaters@yahoo.com;aos@2.3.1
real estate agents,greater noida,Purvanchal Homes Realtech | Trusted Real Estate Agent Alpha-I,https://purvanchalhomerealtech.in/,080 6548 5830,"alpha 1, office 303 , 3rd floor MSX Tower -2",5.0,
real estate agents,greater noida,PROPZOLT PROPERTY SOLUTIONS PRIVATE LIMITED,http://www.propzolt.com/,"201308
098116 62253","C220, 10th Cross St, Block C, Beta I, Greater Noida, Uttar Pradesh 201308",4.9,
real estate agents,greater noida,City Homes Propmart,https://www.cityhomespropmart.in/,080 6267 9664,"OMAXE INDIA TRADE CENTER ITC, A-05 FF",4.9,
real estate agents,greater noida,"Aryan Homes Reality, Real Estate Investment In Greater Noida, Best Realtors In Pari Chowk",https://aryanhomesrealty.in/,094152 38448,"3rd floor, Habitech Qube Crystal Mall, F-4",4.8,aryanhomesrealty@gmail.com
real estate agents,greater noida,Anika Urban Realtors,https://anika-urban-realtors.grexa.site/,,"K B Complex, Pocket F, Block F, Sector Alpha II, Greater Noida, Brahmpur Rajraula Urf Nawada, Uttar Pradesh 201310",4.8,
real estate agents,greater noida,Sharma Real Estate,https://sharmarealestate.co.in/,096914 99233,"SF-217, Krishna Apra Plaza, above Axis Bank",5.0,sharmarealestate9691@gmail.com
real estate agents,greater noida,Maggus Consultants | Real Estate Agent Greater Noida | Property Dealer In Noida | Real Estate Agent Greater Noida,https://maggusconsultants.com/,099714 33883,"S21C, Galaxy Blue Sapphire Mall, Near Chaar Murti, Gaur Chock, Greater Noida W Rd",4.9,
real estate agents,greater noida,Hubert Real Estate,,099991 05526,,5.0,
real estate agents,greater noida,Tosha Properties | Greater Noida Property Dealer,http://toshaproperties.com/,098998 05100,"Ist Floor, Knowledge Park:ll, Corp. Office - Plot No.09, 1-164, 165, Crystal Mall",5.0,
real estate agents,greater noida,PROPERTY SOLUTIONS | GREATER NOIDA PROPERTY DEALER,https://propertysolutionss.com/,098180 55166,"Shop no.- 309,310, tradex tower, 2",4.8,
real estate agents,greater noida,SANGAM ASSOCIATES,http://sangamassociates.in/,095820 06738,"SHOP NO:- 130, 1st FLOOR, MAHAGUN MYWOODS MART, GAUR CITY 2nd NOIDA EXTENSION, and GREATER NOIDA WEST, and",4.8,shivam.singhgzb@gmail.com
